,city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
1770365,Breendonk,Breendonk,Breendonck,51.05,4.3333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,474.7,3052.0,3052.0,3,Europe/Brussels,False,1056645429
1770366,Donceel,Donceel,,50.65,5.3167,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,124.9,3048.0,3048.0,4,Europe/Brussels,False,1056352743
1770367,Wijchmaal,Wijchmaal,Wychmael,51.1356,5.4146,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,251.5,3018.0,3018.0,3,Europe/Brussels,False,1056960089
1770368,Wasseiges,Wasseiges,,50.6167,5.0,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,133.5,2962.0,2962.0,4,Europe/Brussels,True,1056487017
1770369,Moerkerke,Moerkerke,,51.25,3.3333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,129.3,2959.0,2959.0,4,Europe/Brussels,False,1056724680
1770370,Aalbeke,Aalbeke,Aelbeke,50.7667,3.2167,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,411.9,2953.0,2953.0,3,Europe/Brussels,False,1056327544
1770371,Doische,Doische,,50.1333,4.75,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,40.0,2951.0,2951.0,4,Europe/Brussels,False,1056774856
1770372,Passendale,Passendale,Passchendale|Passchendaele,50.9008,3.0225,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,131.77,2928.0,2928.0,4,Europe/Brussels,False,1056207636
1770373,Baarle-Hertog,Baarle-Hertog,Baerle-Duc,51.45,4.9333,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,260.5,2865.0,2865.0,3,Europe/Amsterdam,False,1056681103
1770374,Tenneville,Tenneville,,50.1,5.5333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,31.0,2842.0,2842.0,3,Europe/Brussels,False,1056803321
1770375,Meix-devant-Virton,Meix-devant-Virton,,49.605,5.48,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,52.2,2831.0,2831.0,3,Europe/Brussels,False,1056087827
1770376,Ouffet,Ouffet,,50.4333,5.4667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,70.4,2802.0,2802.0,4,Europe/Brussels,False,1056980770
1770377,Wakken,Wakken,Wacken,50.9303,3.3986,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,522.6,2801.0,2801.0,3,Europe/Brussels,False,1056050079
1770378,Luchteren,Luchteren,,51.0639,3.6339,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,325.4,2750.0,2750.0,3,Europe/Brussels,False,1056430730
